facility_id,no,name,facility_type,tenure_type,entry_requirement,insurance_designation,provider_no,address,phone,capacity,room_type,opened_on,tokurei_from,access,corporate_name,corp_zip,corp_address,notified_on,changed_on,remarks,is_jusho_chi_tokurei,ward,address_detail,capacity_num,source,source_date
21,21,SOMPOケアラヴィーレ北浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176518759,桜区 下大久保81-2,048-857-6518,69,全室個室19.60~26.60m2,H19.10.1(H16.10.1),H18.4.1,JR埼京線与野本町駅から国際興業バス「下大久保」下車徒歩10分,SOMPOケア株式会社,1400002,東京都品川区東品川四丁目12番8号,R3.1.20(H19.9.28)(H16.4.14),,,True,桜区,下大久保81-2,69.0,さいたま市 有料老人ホーム一覧表,2025-07-01
22,22,メディカル・リハビリホームまどか北浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176503553,浦和区 本太3-36-18,048-813-5266,57,全室個室18.0m2,H16.12.1,H18.4.1,JR京浜東北線北浦和駅から徒歩10分,株式会社ベネッセスタイルケア,1600023,東京都新宿区西新宿二丁目3番1号新宿モノリスビル,H16.10.29,,,True,浦和区,本太3-36-18,57.0,さいたま市 有料老人ホーム一覧表,2025-07-01
23,23,まどかさいたま新都心,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176503678,中央区 上落合4-2-16,048-851-4640,54,全室個室18.0m2,H17.2.19,H18.4.1,JR埼京線北与野駅から徒歩5分又はJR京浜東北線さいたま新都心駅から徒歩10分,株式会社ベネッセスタイルケア,1600023,東京都新宿区西新宿二丁目3番1号新宿モノリスビル,H17.2.17,,,True,中央区,上落合4-2-16,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
24,24,ソラストさいたま中央,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176518536,中央区 鈴谷8-2-5,048-857-4165,54,全室個室18.11~20.70m2,H17.3.1,H18.4.1,JR埼京線与野本町駅から徒歩7分,株式会社ソラスト,1088210,東京都港区港南2-15-3 品川インターシティC棟12階,R2.11.27(H16.7.8),,,True,中央区,鈴谷8-2-5,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
25,25,ボンセジュール大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176510178,北区 大成町4-210,048-661-5595,41,全室個室18.0m2,H17.3.5,H18.4.1,埼玉新都市交通ニューシャトル大成駅から徒歩6分,株式会社ベネッセスタイルケア,1600023,東京都新宿区西新宿二丁目3番1号新宿モノリスビル,H24.3.1(H20.9.26)(H16.9.6),,,True,北区,大成町4-210,41.0,さいたま市 有料老人ホーム一覧表,2025-07-01
26,26,そんぽの家大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176503835,大宮区 三橋2-561-1,048-620-6160,51,全室個室18.00m2,H17.4.1,H18.4.1,JR大宮駅からバス「三橋2丁目」下車300m,SOMPOケア株式会社,1400002,東京都品川区東品川4-12-8,H16.7.8,,,True,大宮区,三橋2-561-1,51.0,さいたま市 有料老人ホーム一覧表,2025-07-01
27,27,すこや家・東浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),建物賃貸借方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176503934,緑区 大間木550-1,048-810-5262,36,全室個室15.00m2,H17.4.1,H18.4.1,JR東浦和駅から徒歩15分,ALSOK介護株式会社,3300856,さいたま市大宮区三橋2-795,H17.2.9,,,True,緑区,大間木550-1,36.0,さいたま市 有料老人ホーム一覧表,2025-07-01
28,28,さいたまケアコミュニティそよ風,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176504049,緑区 道祖土1-7-39,048-813-8471,67,全室個室20.10m2,H17.5.1,H18.4.1,"JR浦和駅から2,100m",株式会社SOYOKAZE,1070062,東京都港区南青山2-12-14ユニマット青山ビル,H16.8.12,,,True,緑区,道祖土1-7-39,67.0,さいたま市 有料老人ホーム一覧表,2025-07-01
29,29,そんぽの家大宮見沼,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176504411,見沼区 大字南中丸317-2,048-682-3121,53,全室個室18.00m2,H17.8.1,H18.4.1,東武野田線大和田駅からバス「高井北」下車250m,SOMPOケア株式会社,1400002,東京都品川区東品川4-12-8,H17.2.9,,,True,見沼区,大字南中丸317-2,53.0,さいたま市 有料老人ホーム一覧表,2025-07-01
30,30,すこや家・大宮佐知川,介護付有料老人ホーム(一般型特定施設入居者生活介護),建物賃貸借方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176504346,西区 佐知川1144-1,048-620-6516,60,全室個室14.85~18.00m2,H17.7.1,H18.4.1,JR大宮駅から指扇行きバス10分「佐知川」下車徒歩2分,ALSOK介護株式会社,3300856,さいたま市大宮区三橋2-795,H17.6.10,,,True,西区,佐知川1144-1,60.0,さいたま市 有料老人ホーム一覧表,2025-07-01
31,31,ホームステーションらいふ東浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176504288,緑区 東浦和5-27-13,048-810-4555,54,1~2人室10.725~26.563m2,H17.7.1,H18.4.1,JR武蔵野線東浦和駅から徒歩4分,株式会社らいふ,1400002,東京都品川区東品川2-2-24,H17.7.1,,,True,緑区,東浦和5-27-13,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
32,32,サニーライフ南浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176504536,南区 文蔵3-25-1,048-865-0027,86,全室個室10.88~11.88m2,H17.7.1,H18.4.1,京浜東北線・武蔵野線南浦和駅下車、徒歩約18分,株式会社川島コーポレーション,2921161,千葉県君津市東猪原248番地2,H17.7.22,,,True,南区,文蔵3-25-1,86.0,さいたま市 有料老人ホーム一覧表,2025-07-01
33,33,みんなの家・新都心,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176507687,大宮区 上小町1440-2,048-657-3231,38,全室個室16.25~16.35m2,H17.9.1,H18.4.1,JR北与野駅下車、徒歩18分又はJRさいたま新都心駅下車、徒歩18分,ALSOK介護株式会社,3300856,さいたま市大宮区三橋2-795,H22.6.1(H21.8.1)(H17.8.24),,,True,大宮区,上小町1440-2,38.0,さいたま市 有料老人ホーム一覧表,2025-07-01
34,34,ニチイホーム大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176507778,北区 日進町2-1334,048-662-5330,54,全室個室18.00~18.73m2,H17.10.1,H18.4.1,JR川越線日進駅から徒歩10分,株式会社ニチイケアパレス,1010062,東京都千代田区神田駿河台4-6,H21.10.1(H17.3.3),,,True,北区,日進町2-1334,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
35,35,家族の家ひまわり与野,介護付有料老人ホーム(一般型特定施設入居者生活介護),建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176504825,中央区 鈴谷8-3-8,048-840-2080,52,全室個室14.18m2,H17.12.10,H18.4.1,JR与野本町駅徒歩7分,株式会社三英堂商事,1500002,東京都渋谷区渋谷二丁目15番1号,H17.12.9,,,True,中央区,鈴谷8-3-8,52.0,さいたま市 有料老人ホーム一覧表,2025-07-01
36,36,すこや家・大宮日進,介護付有料老人ホーム(一般型特定施設入居者生活介護),建物賃貸借方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176504858,北区 日進町1-198-4,048-662-7685,36,全室個室15.00m2,H18.1.1,H18.4.1,JR日進駅より徒歩20分又は大宮駅よりバス、道場前下車徒歩3分,ALSOK介護株式会社,3300856,さいたま市大宮区三橋2-795,H17.6.9,,,True,北区,日進町1-198-4,36.0,さいたま市 有料老人ホーム一覧表,2025-07-01
37,37,そんぽの家南与野,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176504890,中央区 鈴谷4-9-11,048-859-6363,42,全室個室18.00m2,H18.1.10,H18.4.1,JR埼京線「南与野駅」からバスで「鈴谷札の辻」下車250m,SOMPOケア株式会社,1400002,東京都品川区東品川4-12-8,H17.7.8,,,True,中央区,鈴谷4-9-11,42.0,さいたま市 有料老人ホーム一覧表,2025-07-01
38,38,アンサンブル大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176505038,大宮区 上小町960-5,048-650-0506,99,全室個室14.12~14.84m2,H18.3.15,H18.4.1,JR大宮駅から徒歩25分。バス停かみこ公園駅徒歩200m,メディカル・ケア・サービス株式会社,3306029,さいたま市中央区新都心11-2ランド·アクシス·タワー29F,H17.7.14,,,True,大宮区,上小町960-5,99.0,さいたま市 有料老人ホーム一覧表,2025-07-01
39,39,ベストライフさいたま,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176518379,中央区 鈴谷5-2-5,048-840-0571,63,1~2人室12.15~24.30m2,H13.12.1,H18.4.1,JR埼京線南与野駅から徒歩4分,株式会社ベストライフ埼玉,3330811,埼玉県川口市戸塚3丁目3番10号,R2.8.27(H18.2.28),,,True,中央区,鈴谷5-2-5,63.0,さいたま市 有料老人ホーム一覧表,2025-07-01
40,40,アズハイム中浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176505061,桜区 西堀2-21-9,048-837-1590,72,1~2人室16.5~33.75m2,H18.4.1,H18.4.1,JR埼京線中浦和駅から徒歩7分,株式会社アズパートナーズ,1010062,東京都千代田区神田駿河台二丁目2番地,H18.3.1,,,True,桜区,西堀2-21-9,72.0,さいたま市 有料老人ホーム一覧表,2025-07-01
41,41,メディカル・リハビリホームまどか大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176505426,大宮区 浅間町2-183,048-650-2122,58,全室個室18.0m2,H18.4.1,H18.4.1,JR京浜東北線・埼京線「大宮駅」から徒歩16分,株式会社ベネッセスタイルケア,1600023,東京都新宿区西新宿二丁目3番1号新宿モノリスビル,H18.3.31,,,True,大宮区,浅間町2-183,58.0,さいたま市 有料老人ホーム一覧表,2025-07-01
42,42,応援家族大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176515623,北区 日進町3-590,048-662-5708,54,全室個室20.15~22.00m2,H18.8.1,H18.8.1,JR宮原駅から徒歩15分,株式会社木下の介護,1631308,東京都新宿区西新宿6-5-1新宿アイランドタワー29階,H18.6.30,,,True,北区,日進町3-590,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
43,43,メディカル・リハビリホームまどか浦和領家,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176505905,浦和区 領家7-5-22,048-823-7023,54,全室個室18.0m2,H18.11.25,H18.11.25,JR京浜東北線北浦和駅から徒歩16分,株式会社ベネッセスタイルケア,1600023,東京都新宿区西新宿二丁目3番1号新宿モノリスビル,H18.11.10,,,True,浦和区,領家7-5-22,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
44,44,ル・レーヴ南浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176506028,南区 大谷口967-1,048-678-5001,75,全室個室18.51~34.07m2,H19.4.1,H19.4.1,JR浦和駅から国際興業バス「稲荷越」下車、徒歩2分,株式会社メディカル・デザイン,1030025,東京都中央区日本橋茅場町1-3-9茅場町MYビル4階,H18.3.3,,,True,南区,大谷口967-1,75.0,さいたま市 有料老人ホーム一覧表,2025-07-01
45,45,大宮やわらぎ苑,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176508883,大宮区 上小町464,048-658-1800,60,全室個室11.06~12.52m2,H16.12.1,H18.4.1,JR大宮駅西口から西武バス1・2番乗り場「西上小町」下車徒歩1分,株式会社川島コーポレーション,2921161,千葉県君津市東猪原248番地2,H22.5.26(H17.7.14),,,True,大宮区,上小町464,60.0,さいたま市 有料老人ホーム一覧表,2025-07-01
46,46,三橋そよ風ホーム,住宅型有料老人ホーム,利用権方式,入居時自立・要支援,在宅サービス利用可,,大宮区 三橋1-871,048-654-8625,9,全室個室11.94~12.19m2,H20.3.1,H20.3.1,東武バス「県営三橋団地」より徒歩1分,株式会社SOYOKAZE,1070062,東京都港区南青山2-12-14ユニマット青山ビル,H20.3.14,,R6.2.1~R6.7.31休止中,True,大宮区,三橋1-871,9.0,さいたま市 有料老人ホーム一覧表,2025-07-01
47,47,聖蹟プライムコート東大宮,住宅型有料老人ホーム,利用権方式,入居時自立・要支援・要介護,在宅サービス利用可,,見沼区 春野2-10-25,048-682-2040,278,1~2人室39.20~83.30m2,H17.4.1,H18.4.1,JR宇都宮線・東大宮駅からバス約10分、バス停「春野図書館前」下車、徒歩2分。,株式会社フォープロプス,3370002,さいたま市見沼区春野2-10-25,H20.9.10,,,True,見沼区,春野2-10-25,278.0,さいたま市 有料老人ホーム一覧表,2025-07-01
48,48,そんぽの家S大宮,住宅型有料老人ホーム,利用権方式,入居時自立,在宅サービス利用可,,北区 宮原町3-374,048-651-3500,77,全室個室26.92~57.78m2,H12.10.1,H18.4.1,JR高崎線「宮原駅」下車、徒歩2分,SOMPOケア株式会社,1400002,東京都品川区東品川四丁目12番8号,R3.1.20(H20.11.14),,,True,北区,宮原町3-374,77.0,さいたま市 有料老人ホーム一覧表,2025-07-01
49,49,ブランシエール浦和,住宅型有料老人ホーム,利用権方式,入居時自立,在宅サービス利用可,,南区 鹿手袋4-31-10,048-865-2811,116,2人室55.90~99.00m2,H5.4.4,H18.4.1,JR埼京線・武蔵野線「武蔵浦和駅」下車、徒歩10分,株式会社長谷工シニアウェルデザイン,1050014,東京都港区芝2丁目9番10号,H20.8.14,,,True,南区,鹿手袋4-31-10,116.0,さいたま市 有料老人ホーム一覧表,2025-07-01
50,50,ラヴィ南浦和II,住宅型有料老人ホーム,利用権方式,入居時自立・要支援・要介護,在宅サービス利用可,,南区 大谷場1-14-16,048-813-8251,50,全室個室10.11~11.55m2,H17.8.1,H18.4.1,JR京浜東北線・武蔵野線南浦和駅から徒歩15分,株式会社ベストライフ埼玉,3330811,埼玉県川口市戸塚3丁目3番10号,R2.8.27(H21.3.11),,,True,南区,大谷場1-14-16,50.0,さいたま市 有料老人ホーム一覧表,2025-07-01
51,51,ジョイライフさいたま,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176520730,南区 文蔵3-23-5,048-866-7161,48,1~2人室11.79~25.29m2,H15.5,H18.4.1,JR京浜東北線・武蔵野線南浦和駅から徒歩13分,株式会社ジョイライフ,1020072,東京都千代田区飯田橋4-10-1飯田橋セントラルプラザ510号,H21.5.25,,,True,南区,文蔵3-23-5,48.0,さいたま市 有料老人ホーム一覧表,2025-07-01
52,52,聖蹟プライムケアコート東大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176507927,見沼区 春野2-10-25,048-682-3939,32,1~2人室27.88~72.26m2,H22.1.1,H22.1.1,JR宇都宮線・東大宮駅からバス約10分、バス停「春野図書館前」下車、徒歩2分。,株式会社フォープロプス,3370002,さいたま市見沼区春野2-10-25,H21.10.1,,,True,見沼区,春野2-10-25,32.0,さいたま市 有料老人ホーム一覧表,2025-07-01
53,53,サニーライフ東浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176508107,緑区 東浦和8-1-2,048-615-3600,161,全室個室13.96~29.17m2,H22.3.5,H22.3.5,JR武蔵野線「東浦和駅」から徒歩12分(900m),株式会社川島コーポレーション,2921161,千葉県君津市東猪原248番地2,H21.12.15,,,True,緑区,東浦和8-1-2,161.0,さいたま市 有料老人ホーム一覧表,2025-07-01
